entrez_id,symbol,Annotated_drug_processing,Disease_gene_Menche,Disease_gene_New,Drug_target,neighbors,nb_disease_genes_2015,nb_disease_gene_New,nb_drug_target,Palliative_target,zscore,Transcription_factor
283120,H19,No,No,Yes,No,2,0,1,0,No,-0.732073624,No
6002,RGS12,No,No,No,No,8,2,3,4,No,1.432028643,No
23026,MYO16,No,No,Yes,No,7,2,3,2,No,0.389515401,No
94032,CAMK2N2,No,No,No,No,1,0,0,0,No,-0.520170265,No
114770,PGLYRP2,No,No,No,Yes,1,0,0,0,No,-0.520170265,No
9649,RALGPS1,No,No,Yes,No,6,1,1,2,No,0.512211067,No
7180,CRISP2,No,No,No,No,5,1,3,2,No,0.9373956,No
81931,ZNF93,No,No,No,No,2,1,1,0,No,-0.732073624,Yes
6506,SLC1A2,Yes,No,Yes,Yes,5,2,3,3,No,1.910486727,No
126402,CCDC105,No,No,No,No,3,0,1,0,No,-0.810083342,No
653653,LOC653653,No,No,No,No,2,1,2,1,No,0.881815956,No
2779,GNAT1,No,No,No,Yes,8,1,6,1,No,-0.572811457,No
84034,EMILIN2,No,No,No,No,8,0,2,0,No,-1.24109149,No
161823,ADAL,Yes,No,No,No,1,0,0,0,No,-0.520170265,No
5137,PDE1C,No,No,Yes,No,3,0,0,2,No,1.729637405,No
55801,IL26,No,Yes,Yes,No,5,4,2,0,No,-1.008786655,No
91862,MARVELD3,No,No,No,No,2,0,0,0,No,-0.732073624,No
8228,PNPLA4,No,No,No,No,3,0,1,0,No,-0.810083342,No
406978,MIR199B,No,No,No,No,1,0,0,0,No,-0.520170265,No
100996648,TCP11X2,No,No,No,No,3,0,0,0,No,-0.810083342,No
26748,GAGE12I,No,No,No,No,2,0,0,0,No,-0.732073624,No
6392,SDHD,No,Yes,Yes,Yes,5,2,2,3,No,1.910486727,No
692197,SNORD77,No,No,No,No,3,3,3,0,No,-0.810083342,No
2331,FMOD,No,No,No,No,4,1,1,1,No,0.132057799,No
91523,PCED1B,No,No,No,No,5,1,2,1,No,-0.035695528,No
389114,ZNF662,No,No,No,No,7,3,2,1,No,-0.382081901,Yes
3324,HSP90AA2P,No,No,No,No,3,1,2,2,No,1.729637405,No
3291,HSD11B2,No,Yes,No,Yes,4,0,3,3,Yes,2.264791256,No
4708,NDUFB2,No,No,No,Yes,11,2,3,6,No,1.876972718,No
253430,IPMK,No,Yes,Yes,No,2,0,1,0,No,-0.732073624,No
1611,DAP,No,Yes,Yes,No,5,0,1,1,No,-0.035695528,No
2304,FOXE1,No,Yes,No,No,3,2,2,0,No,-0.810083342,Yes
158724,FAM47A,No,No,No,No,1,0,1,0,No,-0.520170265,No
255520,ELMOD2,No,No,No,No,4,0,2,0,No,-0.934308929,No
389799,CFAP77,No,No,No,No,5,1,4,1,No,-0.035695528,No
285671,RNF180,No,No,No,No,2,1,1,0,No,-0.732073624,No
54996,MTARC2,No,No,No,No,3,2,2,0,No,-0.810083342,No
26165,SPATA31A7,No,No,No,No,3,0,0,0,No,-0.810083342,No
1362,CPD,No,No,No,Yes,10,1,2,1,No,-0.640212018,No
653125,GOLGA8K,No,No,No,No,2,0,0,0,No,-0.732073624,No
219990,OOSP2,No,No,No,No,1,0,0,0,No,-0.520170265,No
478,ATP1A3,No,Yes,Yes,Yes,9,5,4,3,No,0.600791688,No
1142,CHRNB3,No,No,No,Yes,4,1,2,2,Yes,1.198424527,No
6703,SPRR2D,No,No,No,No,3,0,0,1,No,0.459777032,No
79780,CCDC82,No,No,Yes,No,20,5,7,4,No,-0.197918975,No
1767,DNAH5,No,Yes,Yes,No,11,2,1,1,No,-0.809650561,No
10308,ZNF267,No,No,No,No,8,2,3,2,No,0.095468576,Yes
152518,NFXL1,No,No,No,No,8,2,2,1,No,-0.572811457,Yes
